time_s,acceleration_ms2
0.0000000000,0.0045433694
0.0200000000,0.0044515535
0.0400000000,0.0042659686
0.0600000000,0.0040977693
0.0800000000,0.0040244223
0.1000000000,0.0040410952
0.1200000000,0.0040928553
0.1400000000,0.0042496708
0.1600000000,0.0046693317
0.1800000000,0.0055011680
0.2000000000,0.0067626970
0.2200000000,0.0082928131
0.2400000000,0.0098265561
0.2600000000,0.0111259020
0.2800000000,0.0120410179
0.3000000000,0.0124377128
0.3200000000,0.0120721351
0.3400000000,0.0105922790
0.3600000000,0.0077807353
0.3800000000,0.0039381496
0.4000000000,0.0001051931
0.4200000000,-0.0023233488
0.4400000000,-0.0018458207
0.4600000000,0.0021814528
0.4800000000,0.0084167939
0.5000000000,0.0147324305
0.5200000000,0.0194383769
0.5400000000,0.0218790038
0.5600000000,0.0228952841
0.5800000000,0.0241128292
0.6000000000,0.0266359809
0.6200000000,0.0300330495
0.6400000000,0.0323449899
0.6600000000,0.0311544237
0.6800000000,0.0249988757
0.7000000000,0.0141627792
0.7200000000,0.0003456245
0.7400000000,-0.0144526203
0.7600000000,-0.0289097030
0.7800000000,-0.0424620702
0.8000000000,-0.0545270186
0.8200000000,-0.0637157520
0.8400000000,-0.0680150282
0.8600000000,-0.0661627011
0.8800000000,-0.0593300279
0.9000000000,-0.0516479930
0.9200000000,-0.0486641335
0.9400000000,-0.0542501363
0.9600000000,-0.0678091249
0.9800000000,-0.0837978761
1.0000000000,-0.0942746010
1.0200000000,-0.0969172431
1.0400000000,-0.0871920496
1.0600000000,-0.0623649578
1.0800000000,-0.0370886379
1.1000000000,-0.0201880911
1.1200000000,-0.0079726095
1.1400000000,0.0040139149
1.1600000000,0.0211974826
1.1800000000,0.0459436839
1.2000000000,0.0757891012
1.2200000000,0.1049625495
1.2400000000,0.1278079331
1.2600000000,0.1414273243
1.2800000000,0.1456749273
1.3000000000,0.1409237552
1.3200000000,0.1259877031
1.3400000000,0.0985825494
1.3600000000,0.0586000202
1.3800000000,0.0118033114
1.4000000000,-0.0295081203
1.4200000000,-0.0506631988
1.4400000000,-0.0419672581
1.4600000000,-0.0047938114
1.4800000000,0.0479292424
1.5000000000,0.0979134728
1.5200000000,0.1310390948
1.5400000000,0.1443782986
1.5600000000,0.1462167299
1.5800000000,0.1490571126
1.6000000000,0.1602281349
1.6200000000,0.1763057373
1.6400000000,0.1875477732
1.6600000000,0.1906679970
1.6800000000,0.1610632631
1.7000000000,0.0821667723
1.7200000000,-0.0064672779
1.7400000000,-0.0653634705
1.7600000000,-0.1183161627
1.7800000000,-0.1984514812
1.8000000000,-0.2682832295
1.8200000000,-0.3010345412
1.8400000000,-0.3098659183
1.8600000000,-0.2976624341
1.8800000000,-0.2758246893
1.9000000000,-0.2483383353
1.9200000000,-0.2190488750
1.9400000000,-0.2114950316
1.9600000000,-0.2467589740
1.9800000000,-0.3179332043
2.0000000000,-0.3660726953
2.0200000000,-0.3554400831
2.0400000000,-0.2992701715
2.0600000000,-0.2170988831
2.0800000000,-0.1359318196
2.1000000000,-0.0737385727
2.1200000000,-0.0299019111
2.1400000000,0.0116014064
2.1600000000,0.0691852864
2.1800000000,0.1501130958
2.2000000000,0.2454713177
2.2200000000,0.3361469104
2.2400000000,0.4043736255
2.2600000000,0.4419435665
2.2800000000,0.4496017151
2.3000000000,0.4296716908
2.3200000000,0.3796626677
2.3400000000,0.2938746696
2.3600000000,0.1731763128
2.3800000000,0.0353790664
2.4000000000,-0.0837406042
2.4200000000,-0.1499744650
2.4400000000,-0.1311524271
2.4600000000,-0.0200498649
2.4800000000,0.1318627883
2.5000000000,0.2668011209
2.5200000000,0.3537538752
2.5400000000,0.3884342334
2.5600000000,0.3919788342
2.5800000000,0.3865070329
2.6000000000,0.4025637761
2.6200000000,0.4471867956
2.6400000000,0.4723742907
2.6600000000,0.4373773657
2.6800000000,0.3342913567
2.7000000000,0.1745802978
2.7200000000,-0.0129914229
2.7400000000,-0.1996972116
2.7600000000,-0.3690772246
2.7800000000,-0.4851697963
2.8000000000,-0.5745096281
2.8200000000,-0.6862778527
2.8400000000,-0.7408209795
2.8600000000,-0.7246589795
2.8800000000,-0.6602942584
2.9000000000,-0.5544668297
2.9200000000,-0.4978632194
2.9400000000,-0.5211122242
2.9600000000,-0.6146374590
2.9800000000,-0.7384242831
3.0000000000,-0.8097095016
3.0200000000,-0.7813614004
3.0400000000,-0.6534789958
3.0600000000,-0.4703685636
3.0800000000,-0.2915237907
3.1000000000,-0.1556394603
3.1200000000,-0.0799175396
3.1400000000,-0.0104038752
3.1600000000,0.0865817222
3.1800000000,0.2313232330
3.2000000000,0.4729188745
3.2200000000,0.7027509739
3.2400000000,0.8404172230
3.2600000000,0.9135565835
3.2800000000,0.9246915552
3.3000000000,0.8795397672
3.3200000000,0.8178702556
3.3400000000,0.6851567015
3.3600000000,0.3962582673
3.3800000000,0.0754745190
3.4000000000,-0.1617957964
3.4200000000,-0.2789222760
3.4400000000,-0.2275281873
3.4600000000,-0.0222778222
3.4800000000,0.2609619232
3.5000000000,0.4799597327
3.5200000000,0.6039668049
3.5400000000,0.7058669230
3.5600000000,0.7474376043
3.5800000000,0.7514808685
3.6000000000,0.7964233198
3.6200000000,0.8643834832
3.6400000000,0.8953208297
3.6600000000,0.8263026033
3.6800000000,0.6305022489
3.7000000000,0.3306695644
3.7200000000,-0.0186512966
3.7400000000,-0.3637756382
3.7600000000,-0.6744121202
3.7800000000,-0.9416607807
3.8000000000,-1.1580746397
3.8200000000,-1.3012914212
3.8400000000,-1.3397033810
3.8600000000,-1.2596367128
3.8800000000,-1.0931918798
3.9000000000,-0.9207041257
3.9200000000,-0.8373805649
3.9400000000,-0.8999713025
3.9600000000,-1.0872179178
3.9800000000,-1.3029802220
4.0000000000,-1.4248300199
4.0200000000,-1.3706023727
4.0400000000,-1.1420159946
4.0600000000,-0.8181288476
4.0800000000,-0.5035768907
4.1000000000,-0.2656202159
4.1200000000,-0.1002178364
4.1400000000,0.0533307372
4.1600000000,0.2625743140
4.1800000000,0.5526163661
4.2000000000,0.8897356876
4.2200000000,1.2049401938
4.2400000000,1.4360862827
4.2600000000,1.5563959291
4.2800000000,1.5710558924
4.3000000000,1.4906212153
4.3200000000,1.3835759111
4.3400000000,1.1582662002
4.3600000000,0.6707743861
4.3800000000,0.1321090180
4.4000000000,-0.2636730696
4.4200000000,-0.4579233895
4.4400000000,-0.3719287786
4.4600000000,-0.0319323710
4.4800000000,0.4351514166
4.5000000000,0.7951735241
4.5200000000,0.9973214534
4.5400000000,1.1611390577
4.5600000000,1.2258747616
4.5800000000,1.2294646232
4.6000000000,1.2994969651
4.6200000000,1.4066252688
4.6400000000,1.4791822587
4.6600000000,1.3903529300
4.6800000000,1.0466670020
4.7000000000,0.5372513211
4.7200000000,-0.0237583273
4.7400000000,-0.4518021059
4.7600000000,-0.8224162066
4.7800000000,-1.3694767326
4.8000000000,-1.7742334037
4.8200000000,-1.9377372376
4.8400000000,-2.0898168342
4.8600000000,-2.0546527194
4.8800000000,-1.8322449097
4.9000000000,-1.6013016814
4.9200000000,-1.3878551458
4.9400000000,-1.4033897831
4.9600000000,-1.6930051267
4.9800000000,-2.0261536714
5.0000000000,-2.2345401157
5.0200000000,-2.1687952461
5.0400000000,-1.7880292623
5.0600000000,-1.2610437221
5.0800000000,-0.7727763310
5.1000000000,-0.4043873157
5.1200000000,-0.1490789368
5.1400000000,0.0869594143
5.1600000000,0.2927311724
5.1800000000,0.6209745154
5.2000000000,1.2489953985
5.2200000000,1.8418798072
5.2400000000,2.1905245689
5.2600000000,2.3695838754
5.2800000000,2.3877954904
5.3000000000,2.2619952774
5.3200000000,1.9836034529
5.3400000000,1.5277715535
5.3600000000,0.9035054051
5.3800000000,0.2042756462
5.4000000000,-0.3904008840
5.4200000000,-0.6812282823
5.4400000000,-0.5518266861
5.4600000000,-0.0433070367
5.4800000000,0.6533167178
5.5000000000,1.2906712798
5.5200000000,1.6913899627
5.5400000000,1.8301974675
5.5600000000,1.8216118519
5.5800000000,1.8240171809
5.6000000000,1.9245809696
5.6200000000,2.0796674356
5.6400000000,2.1457319683
5.6600000000,1.9743395568
5.6800000000,1.5045166189
5.7000000000,0.7929764158
5.7200000000,-0.0296827262
5.7400000000,-0.8366703188
5.7600000000,-1.5575066171
5.7800000000,-2.1724503939
5.8000000000,-2.6654967122
5.8200000000,-2.9865120895
5.8400000000,-3.0647396394
5.8600000000,-2.8712969943
5.8800000000,-2.4819970126
5.9000000000,-2.0812884193
5.9200000000,-1.8849800824
5.9400000000,-2.0193624409
5.9600000000,-2.4336162081
5.9800000000,-2.9095817303
6.0000000000,-3.1729808854
