time_s,acceleration_ms2
0.0000000000,-0.0025622587
0.0200000000,-0.0025876164
0.0400000000,-0.0026463580
0.0600000000,-0.0027195098
0.0800000000,-0.0028035762
0.1000000000,-0.0028950275
0.1200000000,-0.0029909583
0.1400000000,-0.0030894518
0.1600000000,-0.0031895689
0.1800000000,-0.0032909783
0.2000000000,-0.0033933367
0.2200000000,-0.0034955962
0.2400000000,-0.0035954506
0.2600000000,-0.0036891144
0.2800000000,-0.0037715644
0.3000000000,-0.0038372734
0.3200000000,-0.0038813433
0.3400000000,-0.0039008376
0.3600000000,-0.0038960247
0.3800000000,-0.0038712219
0.4000000000,-0.0038349613
0.4200000000,-0.0037992993
0.4400000000,-0.0037782470
0.4600000000,-0.0037854736
0.4800000000,-0.0038316146
0.5000000000,-0.0039216491
0.5200000000,-0.0040528759
0.5400000000,-0.0042139936
0.5600000000,-0.0043856628
0.5800000000,-0.0045427174
0.6000000000,-0.0046579191
0.6200000000,-0.0047068602
0.6400000000,-0.0046733589
0.6600000000,-0.0045545071
0.6800000000,-0.0043644737
0.7000000000,-0.0041362406
0.7200000000,-0.0039206760
0.7400000000,-0.0037826968
0.7600000000,-0.0037946970
0.7800000000,-0.0040278626
0.8000000000,-0.0045423863
0.8200000000,-0.0053778680
0.8400000000,-0.0065452905
0.8600000000,-0.0080218600
0.8800000000,-0.0097496981
0.9000000000,-0.0116388982
0.9200000000,-0.0135748749
0.9400000000,-0.0154293158
0.9600000000,-0.0170734932
0.9800000000,-0.0183922843
1.0000000000,-0.0192970638
1.0200000000,-0.0197357027
1.0400000000,-0.0196982468
1.0600000000,-0.0192174062
1.0800000000,-0.0183637001
1.1000000000,-0.0172358697
1.1200000000,-0.0159478659
1.1400000000,-0.0146142538
1.1600000000,-0.0133361398
1.1800000000,-0.0121896842
1.2000000000,-0.0112188983
1.2200000000,-0.0104337866
1.2400000000,-0.0098140719
1.2600000000,-0.0093178451
1.2800000000,-0.0088936685
1.3000000000,-0.0084940448
1.3200000000,-0.0080878622
1.3400000000,-0.0076694980
1.3600000000,-0.0072627220
1.3800000000,-0.0069183223
1.4000000000,-0.0067053869
1.4200000000,-0.0066972559
1.4400000000,-0.0069541476
1.4600000000,-0.0075051933
1.4800000000,-0.0083329590
1.5000000000,-0.0093634035
1.5200000000,-0.0104636158
1.5400000000,-0.0114486535
1.5600000000,-0.0120974864
1.5800000000,-0.0121766401
1.6000000000,-0.0114688191
1.6200000000,-0.0098027948
1.6400000000,-0.0070803268
1.6600000000,-0.0032959666
1.6800000000,0.0014537091
1.7000000000,0.0069736346
1.7200000000,0.0129870991
1.7400000000,0.0191645909
1.7600000000,0.0251615572
1.7800000000,0.0306605527
1.8000000000,0.0354123614
1.8200000000,0.0392705075
1.8400000000,0.0422141702
1.8600000000,0.0443558507
1.8800000000,0.0459320349
1.9000000000,0.0472773256
1.9200000000,0.0487847681
1.9400000000,0.0508570537
1.9600000000,0.0538546731
1.9800000000,0.0580476804
2.0000000000,0.0635774203
2.0200000000,0.0704333794
2.0400000000,0.0784483850
2.0600000000,0.0873129570
2.0800000000,0.0966070346
2.1000000000,0.1058449335
