time_s,acceleration_ms2
0.0000000000,0.0228608584
0.0200000000,-0.0157436696
0.0400000000,-0.0517458347
0.0600000000,0.0664698470
0.0800000000,0.0379029263
0.1000000000,-0.2052141383
0.1200000000,-0.2199304406
0.1400000000,-0.1114817245
0.1600000000,-0.1439053811
0.1800000000,-0.2710483933
0.2000000000,-0.2631265320
0.2200000000,-0.1368637068
0.2400000000,-0.0776793518
0.2600000000,-0.0630877125
0.2800000000,-0.0671624107
0.3000000000,-0.1070315294
0.3200000000,-0.3088540859
0.3400000000,-0.3842526692
0.3600000000,-0.2109041348
0.3800000000,-0.1984107063
0.4000000000,-0.1884072876
0.4200000000,-0.1269481980
0.4400000000,0.0087596705
0.4600000000,0.2089671887
0.4800000000,0.0963351459
0.5000000000,-0.0948520118
0.5200000000,-0.1798468194
0.5400000000,-0.1580039049
0.5600000000,-0.0515183753
0.5800000000,-0.0160233470
0.6000000000,0.0289695766
0.6200000000,-0.0162798615
0.6400000000,-0.0794493438
0.6600000000,0.0080660546
0.6800000000,0.0017784502
0.7000000000,-0.0585132522
0.7200000000,0.0734941424
0.7400000000,0.1505089355
0.7600000000,0.0868298274
0.7800000000,0.0551391585
0.8000000000,0.0571901540
0.8200000000,-0.0003626952
0.8400000000,-0.1143267968
0.8600000000,-0.1047027767
0.8800000000,-0.0400512567
0.9000000000,0.0135493934
0.9200000000,0.0365405314
0.9400000000,-0.0341276414
0.9600000000,-0.0545273849
0.9800000000,0.0418283641
1.0000000000,0.2365216435
1.0200000000,0.3311223865
1.0400000000,0.1982202300
1.0600000000,0.1535319729
1.0800000000,0.1209063197
1.1000000000,-0.0605579059
1.1200000000,-0.1636623931
1.1400000000,-0.1050177796
1.1600000000,0.0325059799
1.1800000000,0.0198062965
1.2000000000,-0.1425152258
1.2200000000,-0.2163296381
1.2400000000,-0.2779551663
1.2600000000,-0.3372889916
1.2800000000,-0.3302945426
1.3000000000,-0.3439788250
1.3200000000,-0.2637842645
1.3400000000,-0.1026934304
1.3600000000,-0.0244247779
1.3800000000,0.1132451221
1.4000000000,0.3851604067
1.4200000000,0.5162028927
1.4400000000,0.4145959630
1.4600000000,0.2419802334
1.4800000000,0.1703005675
1.5000000000,0.1083261295
1.5200000000,-0.0341410846
1.5400000000,-0.1248792608
1.5600000000,-0.0269681255
1.5800000000,-0.0042009225
1.6000000000,-0.2285316181
1.6200000000,-0.1727788376
1.6400000000,0.0158512824
1.6600000000,-0.0291535781
1.6800000000,-0.1762474092
1.7000000000,-0.2865130480
1.7200000000,-0.1968971728
1.7400000000,-0.0571574411
1.7600000000,0.0275091479
1.7800000000,0.0106776687
1.8000000000,-0.1798161849
1.8200000000,-0.2980844597
1.8400000000,-0.2242143978
1.8600000000,0.0332415622
1.8800000000,0.2315383316
1.9000000000,0.1060277393
1.9200000000,0.1137114836
1.9400000000,0.5245579393
1.9600000000,0.9505162462
1.9800000000,1.1292724406
2.0000000000,1.1225823321
2.0200000000,0.9993246459
2.0400000000,0.6232335191
2.0600000000,0.0222808290
2.0800000000,-0.4280958396
2.1000000000,-0.7180715480
2.1200000000,-0.9494264999
2.1400000000,-0.9384537091
2.1600000000,-0.7231772605
2.1800000000,-0.3599483511
