time_s,acceleration_ms2
0.0000000000,-0.0267716997
0.0200000000,-0.0268570123
0.0400000000,-0.0269762530
0.0600000000,-0.0270498789
0.0800000000,-0.0271624746
0.1000000000,-0.0270416538
0.1200000000,-0.0266847921
0.1400000000,-0.0267788128
0.1600000000,-0.0274200801
0.1800000000,-0.0280972938
0.2000000000,-0.0284385213
0.2200000000,-0.0280566887
0.2400000000,-0.0276774194
0.2600000000,-0.0290450951
0.2800000000,-0.0320735314
0.3000000000,-0.0325389823
0.3200000000,-0.0261582541
0.3400000000,-0.0160722107
0.3600000000,-0.0104636265
0.3800000000,-0.0085918258
0.4000000000,-0.0061018308
0.4200000000,-0.0043022598
0.4400000000,-0.0013052512
0.4600000000,-0.0002990643
0.4800000000,-0.0044596210
0.5000000000,-0.0131073819
0.5200000000,-0.0260128789
0.5400000000,-0.0410375614
0.5600000000,-0.0446192255
0.5800000000,-0.0227010119
0.6000000000,-0.0055424259
0.6200000000,-0.0001633614
0.6400000000,0.0231647390
0.6600000000,0.0445976390
0.6800000000,0.0459699617
0.7000000000,0.0348241775
0.7200000000,0.0269764785
0.7400000000,0.0296490960
0.7600000000,0.0218539643
0.7800000000,0.0019638918
0.8000000000,-0.0287675837
0.8200000000,-0.0696233644
0.8400000000,-0.0967272216
0.8600000000,-0.0933605879
0.8800000000,-0.0652397118
0.9000000000,-0.0488350876
0.9200000000,-0.0552694185
0.9400000000,-0.0665109474
0.9600000000,-0.1023893485
0.9800000000,-0.1575746654
1.0000000000,-0.1841518778
1.0200000000,-0.1821136399
1.0400000000,-0.1913781916
1.0600000000,-0.2169582269
1.0800000000,-0.2215704870
1.1000000000,-0.1796097074
1.1200000000,-0.1486711024
1.1400000000,-0.1698983457
1.1600000000,-0.1923953105
1.1800000000,-0.2130358592
1.2000000000,-0.2452483122
1.2200000000,-0.2536343903
1.2400000000,-0.2455533383
1.2600000000,-0.2350489988
1.2800000000,-0.2105347631
1.3000000000,-0.1954453841
1.3200000000,-0.1908823142
1.3400000000,-0.1548440114
1.3600000000,-0.0499000234
1.3800000000,0.0847946753
1.4000000000,0.1907508719
1.4200000000,0.2512441950
1.4400000000,0.2373055544
1.4600000000,0.1819704058
1.4800000000,0.1617145418
1.5000000000,0.1611337887
1.5200000000,0.1214946768
1.5400000000,0.0840267370
1.5600000000,0.0696527732
1.5800000000,0.0303602362
1.6000000000,0.0287641411
1.6200000000,0.0877628270
1.6400000000,0.0459232115
1.6600000000,-0.1015229372
1.6800000000,-0.1862953181
1.7000000000,-0.2182573567
1.7200000000,-0.2468164167
1.7400000000,-0.2099360021
1.7600000000,-0.1544798133
1.7800000000,-0.2184722461
1.8000000000,-0.4092204517
1.8200000000,-0.5602629362
1.8400000000,-0.5137184275
1.8600000000,-0.3226691812
1.8800000000,-0.1586029664
1.9000000000,-0.1156394842
1.9200000000,-0.1439538908
1.9400000000,-0.1345798609
1.9600000000,-0.0739317703
1.9800000000,-0.0305737497
2.0000000000,-0.0586850680
2.0200000000,-0.1182375666
2.0400000000,-0.1743776368
2.0600000000,-0.2010273429
2.0800000000,-0.1035197174
2.1000000000,0.0072899039
2.1200000000,-0.0179854463
2.1400000000,-0.0681535168
2.1600000000,-0.0694011716
2.1800000000,0.0139299757
2.2000000000,0.1076441338
2.2200000000,-0.0077413993
2.2400000000,-0.2108299896
2.2600000000,-0.3769584216
2.2800000000,-0.5073323092
2.3000000000,-0.4150522699
2.3200000000,-0.1918410584
2.3400000000,-0.1405596576
2.3600000000,-0.2259487443
2.3800000000,-0.1864483109
2.4000000000,0.0010594360
2.4200000000,-0.0060197177
2.4400000000,-0.2942171744
2.4600000000,-0.4881186076
2.4800000000,-0.4091216620
2.5000000000,-0.3237337226
2.5200000000,-0.5077268967
2.5400000000,-0.8125074531
2.5600000000,-0.9146224727
2.5800000000,-0.7194628347
2.6000000000,-0.3814835730
2.6200000000,-0.0388606389
2.6400000000,0.3497525497
2.6600000000,0.7098491418
2.6800000000,0.9163074583
2.7000000000,0.9521514064
2.7200000000,0.7588495180
2.7400000000,0.5988557107
2.7600000000,0.6498026072
2.7800000000,0.5485626300
2.8000000000,0.3193544232
2.8200000000,0.1140794758
2.8400000000,0.0041521173
2.8600000000,0.2488535987
2.8800000000,0.5748098819
2.9000000000,0.6851759680
2.9200000000,0.7930208298
2.9400000000,0.8256092461
2.9600000000,0.5214894010
2.9800000000,0.1621022489
3.0000000000,-0.0984032056
3.0200000000,-0.1644552450
3.0400000000,0.2079042081
3.0600000000,0.5884988258
3.0800000000,0.5666755143
3.1000000000,0.2740225396
3.1200000000,0.0912175525
3.1400000000,0.3280946073
3.1600000000,0.7503342242
3.1800000000,0.9614606476
3.2000000000,1.0286302826
3.2200000000,0.9059427066
3.2400000000,0.6529743486
3.2600000000,0.7521807014
3.2800000000,0.8631498931
3.3000000000,0.6623175406
3.3200000000,0.5077666091
3.3400000000,0.3540730856
3.3600000000,0.0773237736
3.3800000000,-0.0051360455
3.4000000000,0.0777547984
3.4200000000,-0.0333964992
3.4400000000,-0.2619175995
3.4600000000,-0.5999691655
3.4800000000,-1.0524002007
3.5000000000,-1.2564790048
3.5200000000,-1.1067438930
3.5400000000,-0.9372856040
3.5600000000,-0.8483520785
3.5800000000,-0.6744621691
3.6000000000,-0.5669029191
3.6200000000,-0.8518519730
3.6400000000,-1.6202594754
3.6600000000,-2.2311229785
3.6800000000,-2.1478243853
3.7000000000,-1.8421367182
3.7200000000,-1.5152678282
3.7400000000,-0.9859874935
3.7600000000,-0.4561998475
3.7800000000,0.0357319487
3.8000000000,0.6706430005
3.8200000000,1.1510782555
3.8400000000,1.3840570388
3.8600000000,1.8167929874
3.8800000000,2.0555274892
3.9000000000,2.0718221902
3.9200000000,2.6428559237
3.9400000000,3.2204872564
3.9600000000,3.0283055332
3.9800000000,2.2982682197
4.0000000000,1.9480310439
4.0200000000,1.9428608238
4.0400000000,1.0358436586
4.0600000000,0.0551099734
4.0800000000,0.0674945930
4.1000000000,-0.2031544156
4.1200000000,-1.0667334257
4.1400000000,-1.5525978819
4.1600000000,-1.7030814186
4.1800000000,-1.7572382233
4.2000000000,-1.3486733016
4.2200000000,-0.6610648082
4.2400000000,-0.2965360023
4.2600000000,-0.3839077780
4.2800000000,-0.9340520397
4.3000000000,-1.3967891945
4.3200000000,-0.9221594442
4.3400000000,-0.1385836213
4.3600000000,0.0726233459
4.3800000000,0.2282494734
4.4000000000,0.2108837737
4.4200000000,-0.3992714300
4.4400000000,-0.7610911833
4.4600000000,-0.6268097893
4.4800000000,-0.3540282922
4.5000000000,0.0653095855
4.5200000000,0.4382503012
4.5400000000,0.7836874324
4.5600000000,0.9992827167
4.5800000000,1.1603231222
4.6000000000,1.6337414685
4.6200000000,1.6663501309
4.6400000000,1.5587631552
4.6600000000,2.1629366244
4.6800000000,2.0755334751
4.7000000000,1.0930547784
4.7200000000,0.3926409808
4.7400000000,-0.5216894635
4.7600000000,-2.1214998920
4.7800000000,-3.4296210092
4.8000000000,-3.4873975336
4.8200000000,-3.2160469861
4.8400000000,-3.0855906848
4.8600000000,-2.5545274061
4.8800000000,-1.9289328491
4.9000000000,-1.2402514813
4.9200000000,-1.0470882714
4.9400000000,-1.6766251101
4.9600000000,-2.1285324385
4.9800000000,-2.1047524855
5.0000000000,-1.6540578405
5.0200000000,-0.4363185476
5.0400000000,0.8671796748
5.0600000000,1.6938981703
5.0800000000,2.2911598747
5.1000000000,3.0884843260
5.1200000000,4.2714083611
5.1400000000,4.8569920344
5.1600000000,4.8146557078
5.1800000000,4.8444204472
5.2000000000,4.6340455991
5.2200000000,4.0499440357
5.2400000000,2.7217170492
5.2600000000,1.1404756893
5.2800000000,0.9031585653
5.3000000000,1.0013498081
5.3200000000,0.0728053676
5.3400000000,-0.5879511489
5.3600000000,-0.6089671089
5.3800000000,-1.2022895328
5.4000000000,-1.9853222493
5.4200000000,-2.2397283984
