time_s,acceleration_ms2
0.0000000000,0.0000000000
0.0200000000,0.0000049041
0.0400000000,0.0000010417
0.0600000000,0.0000844324
0.0800000000,0.0002238557
0.1000000000,0.0001511883
0.1200000000,0.0000389128
0.1400000000,0.0000164142
0.1600000000,-0.0001453387
0.1800000000,-0.0006547217
0.2000000000,-0.0018181252
0.2200000000,-0.0009359446
0.2400000000,-0.0001090934
0.2600000000,-0.0002868617
0.2800000000,-0.0006087960
0.3000000000,-0.0010508590
0.3200000000,0.0006783495
0.3400000000,-0.0003763513
0.3600000000,0.0016883958
0.3800000000,0.0045467711
0.4000000000,0.0040929923
0.4200000000,0.0044056094
0.4400000000,0.0027496917
0.4600000000,-0.0000107616
0.4800000000,0.0001734851
0.5000000000,-0.0085235259
0.5200000000,-0.0077712728
0.5400000000,-0.0011578625
0.5600000000,-0.0051711213
0.5800000000,0.0045904222
0.6000000000,0.0120153616
0.6200000000,0.0181483538
0.6400000000,0.0325731825
0.6600000000,0.0320379950
0.6800000000,0.0284216539
0.7000000000,0.0270947397
0.7200000000,0.0116280128
0.7400000000,0.0067622716
0.7600000000,0.0135070064
0.7800000000,-0.0003714570
0.8000000000,-0.0004499613
0.8200000000,0.0037877681
0.8400000000,0.0163281182
0.8600000000,-0.0031378670
0.8800000000,-0.0023597604
0.9000000000,0.0105895440
0.9200000000,-0.0124391497
0.9400000000,-0.0124971559
0.9600000000,-0.0260689203
0.9800000000,-0.0165519260
1.0000000000,-0.0186591535
1.0200000000,-0.0288896212
1.0400000000,-0.0462630961
1.0600000000,-0.0231171058
1.0800000000,-0.0375442610
1.1000000000,-0.0164451363
1.1200000000,-0.0212227700
1.1400000000,-0.0143176999
1.1600000000,-0.0029432471
1.1800000000,0.0336289069
1.2000000000,0.0355575875
1.2200000000,0.0692633931
1.2400000000,0.1004668394
1.2600000000,0.0866357877
1.2800000000,0.0511919630
1.3000000000,0.0458361915
1.3200000000,0.0873155896
1.3400000000,0.0688950480
1.3600000000,0.0527520432
1.3800000000,0.0018830086
1.4000000000,-0.0378858084
1.4200000000,-0.0710244288
1.4400000000,-0.0586142162
1.4600000000,-0.0309334624
1.4800000000,-0.0061385381
1.5000000000,0.0034187425
1.5200000000,-0.0035378834
1.5400000000,0.0296036966
1.5600000000,0.0043948131
1.5800000000,0.0026924319
1.6000000000,0.0021839911
1.6200000000,-0.0117628740
1.6400000000,0.0240745768
1.6600000000,-0.0025670882
1.6800000000,-0.0606851144
1.7000000000,-0.0404887001
1.7200000000,0.0436021344
1.7400000000,0.0635711939
1.7600000000,0.0940793825
1.7800000000,0.0400687087
1.8000000000,-0.0211269526
1.8200000000,0.0107696478
1.8400000000,-0.0116509692
1.8600000000,-0.0405924436
1.8800000000,-0.0167028106
1.9000000000,0.0348132055
1.9200000000,0.0372202534
1.9400000000,-0.0346352750
1.9600000000,-0.0031972948
1.9800000000,-0.1141856255
2.0000000000,-0.0478466445
2.0200000000,-0.0214225278
2.0400000000,-0.0310170966
2.0600000000,0.0270913688
2.0800000000,-0.0273942366
2.1000000000,-0.0567770149
2.1200000000,0.0166554996
2.1400000000,0.0240333095
2.1600000000,-0.0648815397
2.1800000000,-0.1200502879
2.2000000000,-0.1148929597
2.2200000000,0.0112352357
2.2400000000,-0.0257867175
2.2600000000,-0.0588370196
2.2800000000,-0.0727131145
2.3000000000,-0.0419456094
2.3200000000,-0.0794628250
2.3400000000,-0.2847298338
2.3600000000,-0.3533031502
2.3800000000,-0.2455230428
2.4000000000,-0.2908159196
2.4200000000,-0.3202539891
2.4400000000,-0.1955666784
2.4600000000,-0.0588138557
2.4800000000,-0.0416064047
2.5000000000,0.0851844806
2.5200000000,0.1001108352
2.5400000000,0.0076642397
2.5600000000,-0.0386541610
2.5800000000,-0.0599726135
2.6000000000,-0.1951608049
2.6200000000,-0.3176847090
2.6400000000,-0.2686837879
2.6600000000,-0.2473667740
2.6800000000,-0.2424368370
2.7000000000,-0.1406466418
2.7200000000,-0.0935252935
2.7400000000,-0.0904334087
2.7600000000,-0.1119762845
2.7800000000,-0.0164077077
2.8000000000,0.0495910664
2.8200000000,-0.0457170044
2.8400000000,-0.1756792293
2.8600000000,-0.1833528900
2.8800000000,-0.1584280136
2.9000000000,-0.0887993821
2.9200000000,-0.0387060253
2.9400000000,-0.0253365958
2.9600000000,-0.2175025599
2.9800000000,-0.5566503808
3.0000000000,-0.4336637074
3.0200000000,-0.5615656522
3.0400000000,-0.4555708939
3.0600000000,-0.1375990303
3.0800000000,0.0285576933
3.1000000000,-0.1023935402
3.1200000000,0.0611209682
3.1400000000,0.1535401797
3.1600000000,0.5797072712
3.1800000000,0.6017095671
3.2000000000,0.2830153961
3.2200000000,0.0746389943
3.2400000000,0.0282169125
3.2600000000,0.3253177360
3.2800000000,0.2960491919
3.3000000000,0.3810786907
3.3200000000,0.5202330599
3.3400000000,0.1508092544
3.3600000000,0.1212160432
3.3800000000,0.0667621158
3.4000000000,0.0498281347
3.4200000000,0.2131288240
3.4400000000,0.5834860079
3.4600000000,0.3507475059
3.4800000000,0.2272102082
3.5000000000,0.1794499423
3.5200000000,0.1711810571
3.5400000000,0.2413275602
3.5600000000,0.2027740486
3.5800000000,0.3746504854
3.6000000000,0.3184404812
3.6200000000,0.2222083116
3.6400000000,0.1565319771
3.6600000000,-0.1772674861
3.6800000000,-0.2268858917
3.7000000000,-0.5220925383
3.7200000000,-0.5352005034
3.7400000000,-0.4889279324
3.7600000000,-0.6906061556
3.7800000000,-0.4142757769
3.8000000000,-0.4378754858
3.8200000000,-0.7795517797
3.8400000000,-0.5731677558
3.8600000000,-0.4828557300
3.8800000000,-0.2966871545
3.9000000000,-0.7917831825
3.9200000000,-0.3068385907
3.9400000000,-0.2549543025
3.9600000000,-0.6965501603
3.9800000000,-0.4135391576
4.0000000000,0.1623256229
4.0200000000,0.3646956088
4.0400000000,0.5702019648
4.0600000000,0.5426109022
4.0800000000,0.6187038489
4.1000000000,0.8915914880
4.1200000000,0.7149631041
4.1400000000,0.2656044292
4.1600000000,0.3662031735
4.1800000000,0.3529572319
4.2000000000,-0.0486983357
4.2200000000,0.4721888417
4.2400000000,0.6313023875
4.2600000000,0.5169051323
4.2800000000,0.4852932163
4.3000000000,0.3231332040
4.3200000000,0.2342845025
4.3400000000,0.0762147514
4.3600000000,0.1862254977
4.3800000000,0.0733169859
4.4000000000,0.1238301943
4.4200000000,0.2326067934
4.4400000000,0.4303214196
4.4600000000,0.3726840840
4.4800000000,0.0229238916
4.5000000000,-0.1701923247
4.5200000000,-0.3685565555
4.5400000000,0.2017897509
4.5600000000,0.6524994607
4.5800000000,0.8123630117
4.6000000000,0.7319105693
4.6200000000,0.8220544714
4.6400000000,0.6227270780
4.6600000000,0.2636482465
4.6800000000,0.2448351008
4.7000000000,0.1367963805
4.7200000000,0.5751228692
4.7400000000,0.3730758775
4.7600000000,0.3913166499
4.7800000000,0.0179337565
4.8000000000,0.0505221592
4.8200000000,0.0171788840
4.8400000000,0.3695119373
4.8600000000,0.2298449546
4.8800000000,-0.8742596770
4.9000000000,-0.6386784103
4.9200000000,-0.5818833035
4.9400000000,-0.1216222440
4.9600000000,0.1915650624
4.9800000000,0.3746315119
5.0000000000,0.7052806808
5.0200000000,0.0595413989
5.0400000000,0.0951514084
5.0600000000,0.0088410736
5.0800000000,-0.2729587138
5.1000000000,0.2212397923
5.1200000000,-0.2758356532
5.1400000000,-0.4285132191
5.1600000000,0.1225015748
5.1800000000,-0.2139892988
5.2000000000,-0.6104098775
5.2200000000,-0.3344808182
5.2400000000,0.1514775249
5.2600000000,0.8212459717
5.2800000000,0.7042858355
5.3000000000,0.9989828257
5.3200000000,1.1814615817
5.3400000000,0.7051785523
5.3600000000,0.1746202061
5.3800000000,0.0547183530
5.4000000000,0.0123227280
5.4200000000,0.3910097884
5.4400000000,1.4454667998
5.4600000000,0.7818837714
5.4800000000,0.2034762291
5.5000000000,0.7086021543
5.5200000000,0.2655496547
5.5400000000,0.0755190431
5.5600000000,0.1570370781
5.5800000000,0.3006672011
5.6000000000,0.5994407056
5.6200000000,-0.0140556392
5.6400000000,-0.1695615741
5.6600000000,0.2051736463
5.6800000000,0.4481605009
5.7000000000,0.3775397306
5.7200000000,-0.7903888373
5.7400000000,-1.5939907161
5.7600000000,-0.8564783610
5.7800000000,-1.0239232746
5.8000000000,-1.4411721626
5.8200000000,-0.9788589783
5.8400000000,-0.8720749258
5.8600000000,-0.6624628072
5.8800000000,-0.6698640459
5.9000000000,-0.6200433761
5.9200000000,-0.6339139063
5.9400000000,-0.4891278806
5.9600000000,-0.9146413304
5.9800000000,-1.1830279497
6.0000000000,-1.4971974796
6.0200000000,-0.9936869556
6.0400000000,-0.5297293905
6.0600000000,-0.1466035277
6.0800000000,-0.0209265104
6.1000000000,-0.6968600894
6.1200000000,-0.2682876883
6.1400000000,-0.1943126867
6.1600000000,-0.5445571806
6.1800000000,-0.3957319383
6.2000000000,-0.9739625570
6.2200000000,-0.8937551338
6.2400000000,-1.5871069258
6.2600000000,-1.5867456529
6.2800000000,-1.7825597520
6.3000000000,-0.9884044578
6.3200000000,-0.1987084849
6.3400000000,-0.5561110114
6.3600000000,-0.5391500079
6.3800000000,-1.1004894852
6.4000000000,-0.6628527441
6.4200000000,-0.3542472308
6.4400000000,0.1426907916
6.4600000000,0.5939068525
6.4800000000,0.0992669401
6.5000000000,0.8013558798
6.5200000000,1.0515177520
6.5400000000,0.6843646669
6.5600000000,-0.4859193630
6.5800000000,-1.6160778240
6.6000000000,-1.8764911676
6.6200000000,-1.9419349560
6.6400000000,-1.8624346310
6.6600000000,-1.8632902487
6.6800000000,-1.3985619752
6.7000000000,-1.0531512212
6.7200000000,0.2429539103
6.7400000000,-0.2130167658
6.7600000000,-1.5892200393
6.7800000000,-0.9532432435
6.8000000000,-0.6714082649
6.8200000000,-0.4164713974
6.8400000000,0.1496437507
6.8600000000,-0.5794447315
6.8800000000,-0.8699467343
6.9000000000,-0.0971800741
6.9200000000,-0.7374142254
6.9400000000,-0.6116842191
6.9600000000,-0.8574005960
6.9800000000,0.1474448580
7.0000000000,0.8788838493
7.0200000000,0.4036114486
7.0400000000,1.5430997498
7.0600000000,2.0039878300
7.0800000000,2.1149251831
7.1000000000,0.3888373867
7.1200000000,0.2380617618
7.1400000000,0.4609082497
7.1600000000,2.0503915947
7.1800000000,3.5501080504
7.2000000000,3.2795472392
7.2200000000,3.1761407107
7.2400000000,2.9921146001
7.2600000000,3.6173865867
7.2800000000,3.1913807996
7.3000000000,2.6613751784
7.3200000000,2.3695309183
7.3400000000,1.3940461467
7.3600000000,1.1616613602
7.3800000000,1.7063056035
7.4000000000,1.9442641528
7.4200000000,1.3785552961
7.4400000000,0.0813092586
7.4600000000,-0.2558769917
7.4800000000,-1.3776403667
7.5000000000,-0.8940804714
7.5200000000,-0.5144487216
7.5400000000,-1.1966702085
7.5600000000,-0.5636915781
7.5800000000,-0.9129632621
7.6000000000,0.3430200331
7.6200000000,1.1031780798
7.6400000000,1.9030938002
7.6600000000,-0.2961129375
7.6800000000,-1.6786491018
7.7000000000,-0.2818861289
7.7200000000,0.0539980660
7.7400000000,-0.2515466719
7.7600000000,0.3660502298
7.7800000000,-0.0101436047
7.8000000000,0.1753537337
7.8200000000,-0.2279850288
7.8400000000,0.3208907520
7.8600000000,-1.2286338744
7.8800000000,0.1451552506
7.9000000000,-0.8297187718
7.9200000000,-0.4763367334
7.9400000000,-0.3420670202
7.9600000000,-0.2402694448
7.9800000000,0.4680108919
8.0000000000,0.9594865698
8.0200000000,-1.1269369380
8.0400000000,-1.1389586023
8.0600000000,-0.3137913532
8.0800000000,-1.3815129785
8.1000000000,-1.4733834289
8.1200000000,0.2568188152
8.1400000000,3.5945790283
8.1600000000,4.0329444168
8.1800000000,3.0649336389
8.2000000000,1.6236950814
8.2200000000,2.7157293645
8.2400000000,2.0762237154
8.2600000000,1.6010039611
8.2800000000,1.4433571214
8.3000000000,-0.2144004910
8.3200000000,-1.1223872566
8.3400000000,-0.4259361010
8.3600000000,-1.5340436669
8.3800000000,-1.9715006539
8.4000000000,-2.0732302261
8.4200000000,0.5648609990
8.4400000000,1.9817877596
8.4600000000,0.5660620763
8.4800000000,1.0749994913
8.5000000000,0.0851900599
8.5200000000,-1.1609309464
8.5400000000,-0.6573125119
8.5600000000,0.6634946923
8.5800000000,0.9895333823
8.6000000000,2.5669229902
8.6200000000,3.9816000473
8.6400000000,2.1722251231
8.6600000000,0.6000687475
8.6800000000,0.4047033787
8.7000000000,-1.2733339230
8.7200000000,-1.6708789851
8.7400000000,-0.3719993947
8.7600000000,0.1914766741
8.7800000000,-0.9523614877
8.8000000000,0.6833372216
8.8200000000,0.2822044752
8.8400000000,-0.3867183257
8.8600000000,1.2768678644
8.8800000000,0.7211913256
8.9000000000,-0.6855336139
8.9200000000,0.0564853259
8.9400000000,1.4049781608
8.9600000000,0.4744511169
8.9800000000,0.6933032981
9.0000000000,0.7514613944
9.0200000000,1.6118100344
9.0400000000,0.5300469794
9.0600000000,0.5866767912
9.0800000000,3.4187194241
9.1000000000,4.7759522404
9.1200000000,3.9621126472
9.1400000000,2.5269060142
9.1600000000,1.6266716501
9.1800000000,2.4188590591
9.2000000000,3.6962580953
9.2200000000,2.7221639892
9.2400000000,0.5095938762
9.2600000000,-0.3765430477
9.2800000000,0.9539931968
9.3000000000,0.3968405665
9.3200000000,0.7342018610
9.3400000000,1.7848181775
9.3600000000,0.9403467077
9.3800000000,-0.3707925554
9.4000000000,-0.6838944837
9.4200000000,-1.3531762982
9.4400000000,-1.8285429417
9.4600000000,-2.3746379826
9.4800000000,-2.0283300573
9.5000000000,-1.0291518339
9.5200000000,-1.6354593972
9.5400000000,-1.9122292792
9.5600000000,-2.1927882951
9.5800000000,-0.2275030386
9.6000000000,2.9026046382
9.6200000000,2.9323464229
9.6400000000,3.8976015681
9.6600000000,0.7774088607
9.6800000000,1.8526309950
9.7000000000,2.6489939168
9.7200000000,2.5756607793
9.7400000000,1.6036384523
9.7600000000,0.6031764421
9.7800000000,1.2097761863
9.8000000000,2.3492184228
9.8200000000,2.1987570559
9.8400000000,4.1734783391
9.8600000000,3.5662776996
9.8800000000,2.4953650566
9.9000000000,1.1793855959
