Time (s),Acceleration (m/s^2)
0.000000,0.000000
0.020000,-0.045704
0.040000,1.805941
0.060000,-6.421849
0.080000,-940.556246
0.100000,28673.073649
0.120000,-392211.587596
0.140000,517227.589549
0.160000,98222594.358868
0.180000,-2322045609.208457
0.200000,26198570802.399689
0.220000,-9939645524.094442
0.240000,-5749335333851.935547
0.260000,120900195008420.156250
0.280000,-1231050929838067.000000
0.300000,-555821892831387.437500
0.320000,265035698240706080.000000
0.340000,-5151071251659061248.000000
0.360000,48627507870459035648.000000
0.380000,62881290256499449856.000000
0.400000,-10705961903916574572544.000000
0.420000,195524575361359717335040.000000
0.440000,-1729605203823705079152640.000000
0.460000,-3779272949200505146441728.000000
0.480000,397440989921108826762772480.000000
0.500000,-6881862529236296365957447680.000000
0.520000,57294092397597494215838793728.000000
0.540000,180576158374256586348510052352.000000
0.560000,-13909524892978797599651463692288.000000
0.580000,229604078804736577348512983810048.000000
0.600000,-1801291658598690796396685989773312.000000
0.620000,-7593270021075205645457905504223232.000000
0.640000,465984629346351757975473608558903296.000000
0.660000,-7359620264465261787901134161068425216.000000
0.680000,54372246994934556132775273510530449408.000000
0.700000,293661700793574937430165420280341594112.000000
0.720000,-15091767604325308886809746234583073947648.000000
0.740000,228639154665527769781382137583666248810496.000000
0.760000,-1587445413479035577297122354980797645062144.000000
0.780000,-10696988907708429675144220321026229435105280.000000
0.800000,475726852775287741487574494897542531272146944.000000
0.820000,-6926231520834251593290454142423566968042815488.000000
0.840000,45045187806571225275461346499755161050425589760.000000
0.860000,372393688506957528309942603278770118578736726016.000000
0.880000,-14666588996310878220912140167749397553036937658368.000000
0.900000,205486337805024128483420387331339238688738978562048.000000
0.920000,-1246170430473238880335182166778012191705970467930112.000000
0.940000,-12510219579240554914657470153596464857904242160041984.000000
0.960000,443827786766282249891438426567883183057801615354363904.000000
0.980000,-5989715436948082838433114615157133177151297563196915712.000000
1.000000,33672858781585300572739492171740119423550099714358640640.000000
1.020000,408309627802440172064365198730816728104154220544573571072.000000
1.040000,-13219125188340237893744832337565503951946060231108676550656.000000
1.060000,171959831926273308594143341611044598503551801074088258043904.000000
1.080000,-889369702415597979484445104910145247087223650673308744024064.000000
1.100000,-13011417177862572454600206701515232819340948943316102798114816.000000
1.120000,388347954270727309520950045501820773693832751827214274834464768.000000
1.140000,-4871529995408382669842389347755757878473116015153125139995951104.000000
1.160000,22953922251723077409998709959228028286000769140226255701137162240.000000
1.180000,406341338826607972429144434407340734515141118984784422914507145216.000000
1.200000,-11272143769096929382092554827420302299475500158799607071033549389824.000000
1.220000,136384446013024143781182342247183662506827149198757868523859166101504.000000
1.240000,-578042412546239522250600541583926623268113726727659584520047497838592.000000
1.260000,-12472234811117420865966363939147557605058255880362161235091726033485824.000000
1.280000,323708977296354022625759074537043956814079313284675821880399516751888384.000000
1.300000,-3777773229063471519762049074989810804045240890184305359490403255992713216.000000
1.320000,14159902660153629171339977398997087445944850755212621270938046311006470144.000000
1.340000,377118222081721983444427217955196122704994742602174707385016135148197904384.000000
1.360000,-9207749530163231648232426633378704315784684426138811840368438784116553416704.000000
1.380000,103630131671320107463235344208098054397882560016994840375918297919906308423680.000000
1.400000,-335566065355099578300535960632062345566189260662601136370357354023537558421504.000000
1.420000,-11253571373115683491562090744661608623046531723045720770591286011651353070272512.000000
1.440000,259661186661276750820268742341935130057080136849152265100852348011476292126900224.000000
1.460000,-2817353019084557613770106960686988890749223134388858750536028165075200502845669376.000000
1.480000,7619029223612774629194853302781947033369709210289941565150743177786052822091956224.000000
1.500000,331922334878873499280230540801538283115434977820719657342947862689060364056386338816.000000
1.520000,-7265303170557830771075898877451273164173776235453003778831977548063994019861743271936.000000
1.540000,75955829212485565470215279012489093817995878649763556222082411797443358457317468143616.000000
1.560000,-162749882431363962849936175542803582564271856978593994120707589997273777737541275877376.000000
1.580000,-9688512227706500788895525751580435926902943452260191596681840373699211712204486826000384.000000
1.600000,201826989751856892766424913675736233001577337278534730284744252673610837116515206859587584.000000
1.620000,-2031653947717325055467625057471667401766944635604776369426529454208344244098520677705842688.000000
1.640000,3145984877552400450661240655208959299992618293780543405581055932569729012340466386758270976.000000
