time_s,acceleration_ms2
0.0000000000,0.0140663932
0.0200000000,0.0150738959
0.0400000000,0.0172272213
0.0600000000,0.0197104360
0.0800000000,0.0222451132
0.1000000000,0.0241020195
0.1200000000,0.0259346153
0.1400000000,0.0285406051
0.1600000000,0.0313339322
0.1800000000,0.0338260303
0.2000000000,0.0359177703
0.2200000000,0.0382636631
0.2400000000,0.0420099313
0.2600000000,0.0464092584
0.2800000000,0.0487931617
0.3000000000,0.0490646260
0.3200000000,0.0482001161
0.3400000000,0.0464753161
0.3600000000,0.0447383787
0.3800000000,0.0435795106
0.4000000000,0.0457372093
0.4200000000,0.0502967837
0.4400000000,0.0557641628
0.4600000000,0.0597880291
0.4800000000,0.0576055133
0.5000000000,0.0583224126
0.5200000000,0.0590991433
0.5400000000,0.0501146339
0.5600000000,0.0401200364
0.5800000000,0.0386251913
0.6000000000,0.0420145514
0.6200000000,0.0438346542
0.6400000000,0.0560900325
0.6600000000,0.0796088891
0.6800000000,0.1004015982
0.7000000000,0.1111446955
0.7200000000,0.1135353129
0.7400000000,0.1067081440
0.7600000000,0.0832241640
0.7800000000,0.0431560660
0.8000000000,-0.0046228166
0.8200000000,-0.0257810722
0.8400000000,-0.0148687706
0.8600000000,-0.0027223918
0.8800000000,0.0140579893
0.9000000000,0.0360989356
0.9200000000,0.0612618824
0.9400000000,0.1109337563
0.9600000000,0.1728813800
0.9800000000,0.2167873447
1.0000000000,0.2410324245
1.0200000000,0.2549123245
1.0400000000,0.2631052618
1.0600000000,0.2693450754
1.0800000000,0.2725077053
1.1000000000,0.2648642933
1.1200000000,0.2559913326
1.1400000000,0.2568203855
1.1600000000,0.2617321015
1.1800000000,0.2723202615
1.2000000000,0.2722057222
1.2200000000,0.2300682526
1.2400000000,0.1677131717
1.2600000000,0.1093669115
1.2800000000,0.0720759791
1.3000000000,0.0868793419
1.3200000000,0.1275319701
1.3400000000,0.1411794381
1.3600000000,0.1477290154
1.3800000000,0.1868880211
1.4000000000,0.2074718935
1.4200000000,0.2012706925
1.4400000000,0.2028206422
1.4600000000,0.1901650688
1.4800000000,0.1465986229
1.5000000000,0.0918691921
1.5200000000,0.0708674203
1.5400000000,0.0794634571
1.5600000000,0.0858714056
1.5800000000,0.0992358323
1.6000000000,0.1151734632
1.6200000000,0.1224972582
1.6400000000,0.1377221833
1.6600000000,0.1483605908
1.6800000000,0.1773500146
1.7000000000,0.2191943918
1.7200000000,0.2024615192
1.7400000000,0.1746953490
1.7600000000,0.2407517272
1.7800000000,0.3692953165
1.8000000000,0.4737918527
1.8200000000,0.5456932607
1.8400000000,0.5063029505
1.8600000000,0.3822831226
1.8800000000,0.3022842313
1.9000000000,0.2536435955
1.9200000000,0.2710523598
1.9400000000,0.2820463082
1.9600000000,0.1558988492
1.9800000000,0.0776319503
2.0000000000,0.1952878326
2.0200000000,0.3675604961
2.0400000000,0.4607040113
2.0600000000,0.4009849173
2.0800000000,0.2203438690
2.1000000000,0.1490309646
2.1200000000,0.2306915684
2.1400000000,0.2426709474
2.1600000000,0.1859445510
2.1800000000,0.1728550400
2.2000000000,0.1996116215
2.2200000000,0.3280703591
2.2400000000,0.4646178183
2.2600000000,0.4076529315
2.2800000000,0.2325665243
2.3000000000,0.0840239637
2.3200000000,0.0400069460
2.3400000000,0.1674541987
2.3600000000,0.3519470550
2.3800000000,0.4221242120
2.4000000000,0.3512652782
2.4200000000,0.1696913287
2.4400000000,-0.0082869978
2.4600000000,-0.0796328789
2.4800000000,-0.1744179747
2.5000000000,-0.2937130397
2.5200000000,-0.2973341281
2.5400000000,-0.2150623869
2.5600000000,-0.0371468654
2.5800000000,0.1199980164
2.6000000000,0.1139100276
2.6200000000,0.1262540263
2.6400000000,0.3330230329
2.6600000000,0.5914256967
2.6800000000,0.7387407220
2.7000000000,0.7868116075
2.7200000000,0.6989631705
2.7400000000,0.5914472229
2.7600000000,0.5306341228
2.7800000000,0.3523349025
2.8000000000,0.1126154597
2.8200000000,-0.0533359395
2.8400000000,-0.1212463631
2.8600000000,-0.3291215993
2.8800000000,-0.7737515188
2.9000000000,-1.1268666012
2.9200000000,-1.3578353450
2.9400000000,-1.6786786532
2.9600000000,-1.9453456751
2.9800000000,-1.9420463367
3.0000000000,-1.7154071553
3.0200000000,-1.3732128446
3.0400000000,-1.0629326854
3.0600000000,-0.8823053795
3.0800000000,-0.8802789102
3.1000000000,-0.9320124228
3.1200000000,-0.8368558509
3.1400000000,-0.5185335008
3.1600000000,0.0363632136
3.1800000000,0.5265965021
3.2000000000,0.6170109532
3.2200000000,0.3721613839
3.2400000000,0.0351728424
3.2600000000,-0.3070652456
3.2800000000,-0.7485344453
3.3000000000,-1.1350278051
3.3200000000,-1.0722640655
3.3400000000,-0.7557531831
3.3600000000,-0.6997692946
3.3800000000,-0.8001428135
3.4000000000,-0.9316287213
3.4200000000,-1.0545912044
3.4400000000,-0.6740073908
3.4600000000,0.1470259533
3.4800000000,0.5470760015
3.5000000000,0.3902832465
3.5200000000,0.2963069003
3.5400000000,0.2716382289
3.5600000000,-0.0031081321
3.5800000000,-0.2169693546
3.6000000000,-0.1536217102
3.6200000000,-0.0722640755
3.6400000000,0.0987866528
3.6600000000,0.3741367929
3.6800000000,0.5477948607
3.7000000000,0.4906541912
3.7200000000,0.2092727985
3.7400000000,0.0057826482
3.7600000000,-0.0219070432
3.7800000000,-0.0712511331
3.8000000000,-0.4643734541
3.8200000000,-1.1166699957
3.8400000000,-1.2324948865
3.8600000000,-0.8260910676
3.8800000000,-0.7143017167
3.9000000000,-0.7915719575
3.9200000000,-0.5751306673
3.9400000000,-0.5009151814
3.9600000000,-0.7957154947
3.9800000000,-0.9706006233
4.0000000000,-1.1576916863
4.0200000000,-1.3792129481
4.0400000000,-1.2413522698
4.0600000000,-0.7557996424
4.0800000000,-0.0776379428
4.1000000000,0.7652109831
4.1200000000,1.5699930016
4.1400000000,1.9584894493
4.1600000000,2.4117833477
4.1800000000,3.2190092192
4.2000000000,3.6515389554
4.2200000000,3.7645041698
4.2400000000,3.7435316510
4.2600000000,3.1337320792
4.2800000000,1.9362638578
4.3000000000,0.7374001598
4.3200000000,0.2548393651
4.3400000000,0.3947793566
4.3600000000,0.5874297303
4.3800000000,0.5154291317
4.4000000000,0.3589594239
4.4200000000,0.6012761847
4.4400000000,1.0825325374
4.4600000000,1.3366998257
4.4800000000,0.7550981944
4.5000000000,-0.5497918324
4.5200000000,-1.6318674108
4.5400000000,-2.2488318322
4.5600000000,-2.4191797472
4.5800000000,-2.4303485648
4.6000000000,-2.4803634636
4.6200000000,-2.4066039480
4.6400000000,-2.1940117503
4.6600000000,-1.8591781260
4.6800000000,-1.7335240053
4.7000000000,-1.4637828344
4.7200000000,-0.5373361103
4.7400000000,0.5588197575
4.7600000000,1.0072386014
4.7800000000,0.4660292810
4.8000000000,-0.6049151637
4.8200000000,-0.9134708365
4.8400000000,-0.0138091377
4.8600000000,0.4616411767
4.8800000000,0.3553181908
4.9000000000,0.6557602087
4.9200000000,0.8918302976
4.9400000000,0.3788394917
4.9600000000,-1.0467092071
4.9800000000,-2.1995061371
5.0000000000,-2.4884742199
5.0200000000,-2.6783917239
5.0400000000,-2.2452437858
5.0600000000,-1.1885446699
5.0800000000,-0.8606292288
5.1000000000,-1.3955715624
5.1200000000,-1.9351914154
5.1400000000,-2.1032988659
5.1600000000,-2.1449099092
5.1800000000,-2.1656724716
5.2000000000,-1.6506214818
5.2200000000,-1.0960517140
5.2400000000,-1.1363530220
5.2600000000,-0.6800488290
5.2800000000,0.0000605310
5.3000000000,-0.1024134408
5.3200000000,-0.0338079222
5.3400000000,0.7841693929
5.3600000000,1.9707610913
5.3800000000,3.3278582083
5.4000000000,3.7320212496
5.4200000000,2.6892185152
5.4400000000,1.5058143133
5.4600000000,0.9803337701
5.4800000000,1.2329520906
5.5000000000,1.6779774448
5.5200000000,0.8634329803
5.5400000000,-0.8831702136
5.5600000000,-1.8125922462
5.5800000000,-1.9572815276
5.6000000000,-1.9499301303
5.6200000000,-1.5526142495
5.6400000000,-0.5915708993
5.6600000000,0.3704855541
5.6800000000,0.9795298351
5.7000000000,1.6450272001
5.7200000000,2.3747435137
5.7400000000,2.8945927273
5.7600000000,2.9779488728
5.7800000000,2.5006146757
5.8000000000,1.4945012449
5.8200000000,0.0588749210
5.8400000000,-1.7891136369
5.8600000000,-3.9307380711
5.8800000000,-5.2449132337
5.9000000000,-4.8308218547
5.9200000000,-3.3024190944
5.9400000000,-1.7205049995
5.9600000000,-0.7925597162
5.9800000000,-0.5234401810
6.0000000000,-0.1808355629
6.0200000000,0.5070007082
6.0400000000,0.3645119664
6.0600000000,-0.3284938800
6.0800000000,-0.0937492891
6.1000000000,0.0557104488
6.1200000000,-1.1718507602
6.1400000000,-2.4365585237
6.1600000000,-2.2751219984
6.1800000000,-1.3893383659
6.2000000000,-0.8815271180
6.2200000000,-1.0142024869
6.2400000000,-1.6987628859
6.2600000000,-2.7182617168
6.2800000000,-3.4453349702
6.3000000000,-3.7230543676
6.3200000000,-3.6201471115
6.3400000000,-2.6630634593
