time_s,acceleration_ms2
0.0000000000,0.0000000000
0.0200000000,0.0000654405
0.0400000000,0.0001516480
0.0600000000,-0.0000557731
0.0800000000,-0.0006706961
0.1000000000,-0.0006483114
0.1200000000,-0.0004657720
0.1400000000,-0.0008358595
0.1600000000,-0.0022470564
0.1800000000,-0.0027906790
0.2000000000,0.0010394416
0.2200000000,0.0072976812
0.2400000000,0.0022790955
0.2600000000,-0.0032845295
0.2800000000,-0.0096343486
0.3000000000,-0.0092808023
0.3200000000,-0.0019247622
0.3400000000,0.0043598250
0.3600000000,0.0134213406
0.3800000000,0.0170892830
0.4000000000,-0.0055706284
0.4200000000,-0.0132426207
0.4400000000,0.0043330220
0.4600000000,-0.0091341291
0.4800000000,-0.0369713120
0.5000000000,-0.0375615024
0.5200000000,-0.0146716424
0.5400000000,0.0015887273
0.5600000000,0.0275921161
0.5800000000,0.0616885957
0.6000000000,0.1175862274
0.6200000000,0.0651210602
0.6400000000,0.0092842967
0.6600000000,-0.0388853612
0.6800000000,-0.1194511740
0.7000000000,-0.1182159498
0.7200000000,-0.1299942025
0.7400000000,-0.1162279761
0.7600000000,-0.1427910318
0.7800000000,-0.0899063952
0.8000000000,-0.0433548825
0.8200000000,-0.0123531502
0.8400000000,-0.0197330124
0.8600000000,0.0686472810
0.8800000000,0.1432343614
0.9000000000,0.1721200865
0.9200000000,0.1540541977
0.9400000000,0.1379665710
0.9600000000,0.0858800867
0.9800000000,0.0555996306
1.0000000000,-0.0481594615
1.0200000000,-0.1451935412
1.0400000000,-0.1122177748
1.0600000000,-0.0955585516
1.0800000000,0.0034495091
1.1000000000,0.0842753476
1.1200000000,0.1344310014
1.1400000000,0.0352447652
1.1600000000,-0.0032793274
1.1800000000,-0.1701860531
1.2000000000,-0.0940643634
1.2200000000,-0.1148189393
1.2400000000,-0.1415081785
1.2600000000,-0.2008582730
1.2800000000,-0.1562671142
1.3000000000,-0.0035459040
1.3200000000,0.0567314438
1.3400000000,-0.0209824175
1.3600000000,-0.0744096309
1.3800000000,-0.0196940729
1.4000000000,-0.0396368628
1.4200000000,-0.0553157720
1.4400000000,0.0836405720
1.4600000000,0.1468845657
1.4800000000,0.1711406398
1.5000000000,0.1102640006
1.5200000000,-0.0278608205
1.5400000000,0.0713813932
1.5600000000,0.0346451029
1.5800000000,0.2130311857
1.6000000000,0.5912062499
1.6200000000,0.5788219788
1.6400000000,0.3571081186
1.6600000000,0.0170880296
1.6800000000,-0.0987807969
1.7000000000,-0.2275745703
1.7200000000,-0.4472831287
1.7400000000,-0.1733630806
1.7600000000,0.0355625178
1.7800000000,0.0287571330
1.8000000000,-0.2238881203
1.8200000000,0.0313690303
1.8400000000,-0.0365821584
1.8600000000,0.0260096396
1.8800000000,-0.1511605268
1.9000000000,0.0470718661
1.9200000000,0.2648495133
1.9400000000,0.3057402697
1.9600000000,0.3785607940
1.9800000000,0.4062638183
2.0000000000,0.6801256241
2.0200000000,0.8653497485
2.0400000000,-0.0871694342
2.0600000000,-0.1206073690
2.0800000000,-0.3598311623
2.1000000000,-0.4229720371
2.1200000000,-0.2144632877
2.1400000000,-0.1180784847
2.1600000000,0.0632670966
2.1800000000,0.5405722555
2.2000000000,0.4195234687
2.2200000000,0.3534106569
2.2400000000,0.0633579326
2.2600000000,-0.7985819933
2.2800000000,-1.0029191111
2.3000000000,-0.7670912467
2.3200000000,-0.2993713563
2.3400000000,-0.1647580800
2.3600000000,-0.7206609781
2.3800000000,-0.3874029201
2.4000000000,-0.4632597684
2.4200000000,0.1091790827
2.4400000000,-0.1230317047
2.4600000000,0.1931659217
2.4800000000,-0.0113719394
2.5000000000,0.4486966648
2.5200000000,0.0848427542
2.5400000000,-0.8420081151
2.5600000000,-0.9307361065
2.5800000000,-0.3467438949
2.6000000000,-0.7011500506
2.6200000000,-0.2224154129
2.6400000000,-0.2832026050
2.6600000000,-1.2373166499
2.6800000000,-0.9026484510
2.7000000000,-1.2378025765
